#n f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
72 444.234600 101.823376 0.013889 288139106899.549438 518832.000000 8.856040 4860.000000 4860.000000 424.264069 746496.000000 22528399544939172220954146871705600.000000 309237645312.000000
73 451.857193 102.528045 0.013699 341697342141.748596 533338.000000 8.918558 5005.000000 5005.000000 427.200187 778034.000000 67585198634817525886234477469892608.000000 313532612608.000000
74 459.499549 103.227903 0.013514 404489444887.288086 548044.000000 8.980658 5152.000000 5152.000000 430.116263 810448.000000 202755595904452568435331395554902016.000000 317827579904.000000
75 467.161402 103.923048 0.013333 477987614296.600708 562950.000000 9.042349 5301.000000 5301.000000 433.012702 843750.000000 608266787713357742199482334083809280.000000 322122547200.000000
76 474.842491 104.613575 0.013158 563880389253.982544 578056.000000 9.103637 5452.000000 5452.000000 435.889894 877952.000000 1824800363140073226598447002251427840.000000 326417514496.000000
77 482.542564 105.299573 0.012987 664101843263.325806 593362.000000 9.164532 5605.000000 5605.000000 438.748219 913066.000000 5474401089420219384647435827401457664.000000 330712481792.000000
78 490.261373 105.981130 0.012821 780864382867.258179 608868.000000 9.225040 5760.000000 5760.000000 441.588043 949104.000000 16423203268260656973350686764793069568.000000 335007449088.000000
79 497.998679 106.658333 0.012658 916695554594.451172 624574.000000 9.285169 5917.000000 5917.000000 444.409721 986078.000000 49269609804781973281235301729201815552.000000 339302416384.000000
80 505.754248 107.331263 0.012500 1074479306683.732788 640480.000000 9.344927 6076.000000 6076.000000 447.213595 1024000.000000 147808829414345929288438870926895874048.000000 343597383680.000000
81 513.527850 108.000000 0.012346 1257502196862.077637 656586.000000 9.404319 6237.000000 6237.000000 450.000000 1062882.000000 443426488243037806754782544259268476928.000000 347892350976.000000
82 521.319264 108.664622 0.012195 1469505086578.075928 672892.000000 9.463354 6400.000000 6400.000000 452.769257 1102736.000000 1330279464729113344706483906863482011648.000000 352187318272.000000
83 529.128273 109.325203 0.012048 1714740915646.343262 689398.000000 9.522036 6565.000000 6565.000000 455.521679 1143574.000000 3990838394187339731887996816933152358400.000000 356482285568.000000
84 536.954664 109.981817 0.011905 1998039209600.302002 706104.000000 9.580373 6732.000000 6732.000000 458.257569 1185408.000000 11972515182562020404589810065428631781376.000000 360777252864.000000
85 544.798230 110.634533 0.011765 2324878035563.612793 723010.000000 9.638371 6901.000000 6901.000000 460.977223 1228250.000000 35917545547686061213769430196285895344128.000000 365072220160.000000
86 552.658769 111.283422 0.011628 2701464191546.769043 740116.000000 9.696036 7072.000000 7072.000000 463.680925 1272112.000000 107752636643058169134198455213307589558272.000000 369367187456.000000
87 560.536084 111.928549 0.011494 3134822489193.732910 757422.000000 9.753373 7245.000000 7245.000000 466.368953 1317006.000000 323257909929174546088221593308056359272448.000000 373662154752.000000
88 568.429982 112.569978 0.011364 3632895071616.988770 774928.000000 9.810388 7420.000000 7420.000000 469.041576 1362944.000000 969773729787523638264664779924169077817344.000000 377957122048.000000
89 576.340275 113.207774 0.011236 4204651796570.445312 792634.000000 9.867086 7597.000000 7597.000000 471.699057 1409938.000000 2909321189362571069536499250445041595842560.000000 382252089344.000000
90 584.266779 113.841996 0.011111 4860212811359.010742 810540.000000 9.923473 7776.000000 7776.000000 474.341649 1458000.000000 8727963568087711970669458465954849888403456.000000 386547056640.000000
91 592.209312 114.472704 0.010989 5610984550145.731445 828646.000000 9.979553 7957.000000 7957.000000 476.969601 1507142.000000 26183890704263137149948414683244824564334592.000000 390842023936.000000
92 600.167700 115.099957 0.010870 6469810497309.495117 846952.000000 10.035333 8140.000000 8140.000000 479.583152 1557376.000000 78551672112789411449845244049734473693003776.000000 395136991232.000000
93 608.141769 115.723809 0.010753 7451138182883.638672 865458.000000 10.090816 8325.000000 8325.000000 482.182538 1608714.000000 235655016338368244253056046432245620272005120.000000 399431958528.000000
94 616.131352 116.344317 0.010638 8571204008571.528320 884164.000000 10.146008 8512.000000 8512.000000 484.767986 1661168.000000 706965049015104732759168139296736860816015360.000000 403726925824.000000
95 624.136283 116.961532 0.010526 9848237646135.273438 903070.000000 10.200913 8701.000000 8701.000000 487.339717 1714750.000000 2120895147045314198277504417890210582448046080.000000 408021893120.000000
96 632.156400 117.575508 0.010417 11302687904889.308594 922176.000000 10.255535 8892.000000 8892.000000 489.897949 1769472.000000 6362685441135941961007213139555930998992535552.000000 412316860416.000000
97 640.191546 118.186294 0.010309 12957472132446.736328 941482.000000 10.309879 9085.000000 9085.000000 492.442890 1825346.000000 19088056323407825883021639418667792996977606656.000000 416611827712.000000
98 648.241565 118.793939 0.010204 14838251393675.007812 960988.000000 10.363950 9280.000000 9280.000000 494.974747 1882384.000000 57264168970223482719667319168920984977745641472.000000 420906795008.000000
99 656.306305 119.398492 0.010101 16973733867978.308594 980694.000000 10.417750 9477.000000 9477.000000 497.493719 1940598.000000 171792506910670448159001957506762954933236924416.000000 425201762304.000000
100 664.385619 120.000000 0.010000 19396009115566.359375 1000600.000000 10.471285 9676.000000 9676.000000 500.000000 2000000.000000 515377520732011324194596268868618440852459487232.000000 429496729600.000000
